EstacaoCodigo;Data;Maxima;Minima;Media
66380000;01/06/2009;62.86;39.457;42.319
66380000;01/05/2009;64.904;42.925;48.856
66380000;01/04/2009;144.903;53.013;78.701
66380000;01/03/2009;231.753;64.904;111.078
66380000;01/02/2009;488.561;57.857;133.989
66380000;01/01/2009;82.139;32.064;52.21
66380000;01/12/2008;92.309;32.064;51.85
66380000;01/11/2008;58.845;32.064;41.052
66380000;01/10/2008;49.252;28.21;33.412
66380000;01/09/2008;30.5;27.461;28.574
66380000;01/08/2008;32.857;27.461;30.167
66380000;01/07/2008;35.279;32.064;34.052
66380000;01/06/2008;48.328;36.1;40.951
66380000;01/05/2008;64.904;47.411;54.748
66380000;01/04/2008;465.031;68.016;113.469
66380000;01/03/2008;147.851;68.016;93.138
66380000;01/02/2008;231.753;70.12;111.249
66380000;01/01/2008;312.923;54.931;120.108
66380000;01/12/2007;84.65;53.969;64.953
66380000;01/11/2007;88.456;30.5;62.386
66380000;01/10/2007;61.847;23.131;30.105
66380000;01/09/2007;26.72;24.543;25.097
66380000;01/08/2007;31.278;25.987;27.86
66380000;01/07/2007;40.314;29.729;33.087
66380000;01/06/2007;37.765;31.278;34.304
66380000;01/05/2007;51.119;37.765;40.688
66380000;01/04/2007;76.578;43.808;52.21
66380000;01/03/2007;202.069;55.9;81.184
66380000;01/02/2007;223.127;71.03;98.609
66380000;01/01/2007;171.833;51.534;75.819
66380000;01/12/2006;192.208;40.944;74.16
66380000;01/11/2006;123.196;31.584;45.585
66380000;01/10/2006;84.549;32.907;54.091
66380000;01/09/2006;49.361;28.367;32.696
66380000;01/08/2006;30.282;26.5;28.519
66380000;01/07/2006;54.843;29.639;33.131
66380000;01/06/2006;38.912;32.243;34.628
66380000;01/05/2006;51.534;38.912;43.678
66380000;01/04/2006;143.265;51.534;82.928
66380000;01/03/2006;228.128;74.65;112.796
66380000;01/02/2006;185.87;46.152;89.829
66380000;01/01/2006;131.691;39.924;57.581
66380000;01/12/2005;113.494;33.576;55.493
66380000;01/11/2005;89.629;29.639;36.552
66380000;01/10/2005;50.444;25.888;34.918
66380000;01/09/2005;37.907;25.888;28.301
66380000;01/08/2005;27.117;26.5;26.978
66380000;01/07/2005;30.282;27.117;28.8
66380000;01/06/2005;33.576;30.282;31.568
66380000;01/05/2005;51.534;33.576;38.122
66380000;01/04/2005;102.689;43.006;57.662
66380000;01/03/2005;201.829;48.285;75.409
66380000;01/02/2005;97.404;45.097;65.517
66380000;01/01/2005;137.443;46.152;78.695
66380000;01/12/2004;83.293;34.929;50.679
66380000;01/11/2004;130.264;31.584;54.818
66380000;01/10/2004;53.733;29;39.771
66380000;01/09/2004;30.931;29.639;30.198
66380000;01/08/2004;32.907;30.931;31.714
66380000;01/07/2004;73.437;32.243;36.499
66380000;01/06/2004;50.444;34.25;41.385
66380000;01/05/2004;59.345;47.215;53.06
66380000;01/04/2004;96.095;58.21;75.936
66380000;01/03/2004;97.404;66.284;79.692
66380000;01/02/2004;197.002;109.406;150.043
66380000;01/01/2004;520.608;70.301;153.563
66380000;01/12/2003;159.876;52.223;79.723
66380000;01/11/2003;104.146;44.894;60.64
66380000;01/10/2003;86.258;47.99;61.211
66380000;01/09/2003;86.258;47.99;54.85
66380000;01/08/2003;55.475;47.99;53.48
66380000;01/07/2003;55.475;47.99;52.212
66380000;01/06/2003;69.119;53.299;60.335
66380000;01/05/2003;95.571;65.615;76.063
66380000;01/04/2003;494.384;89.322;153.198
66380000;01/03/2003;492.432;99.824;187.388
66380000;01/02/2003;416.772;98.754;156.531
66380000;01/01/2003;174.176;56.573;104.062
66380000;01/12/2002;154.791;50.091;89.377
66380000;01/11/2002;94.518;36.984;46.328
66380000;01/10/2002;94.518;33.225;40.789
66380000;01/09/2002;75.093;34.152;43.828
66380000;01/08/2002;36.984;33.225;34.763
66380000;01/07/2002;41.868;36.984;39.143
66380000;01/06/2002;46.95;42.869;43.714
66380000;01/05/2002;65.615;46.95;57.257
66380000;01/04/2002;87.275;56.573;69.784
66380000;01/03/2002;195.784;77.528;109.727
66380000;01/02/2002;578.933;86.258;138.997
66380000;01/01/2002;558.35;79.989;129.787
66380000;01/12/2001;325.674;84.237;145.913
66380000;01/11/2001;100.898;33.225;50.362
66380000;01/10/2001;141.127;25.275;40.083
66380000;01/09/2001;44.894;24.437;29.347
66380000;01/08/2001;30.495;26.122;27.239
66380000;01/07/2001;31.396;26.979;28.895
66380000;01/06/2001;43.878;31.396;34.086
66380000;01/05/2001;59.911;36.032;40.847
66380000;01/04/2001;85.245;38.914;51.756
66380000;01/03/2001;109.645;49.037;83.509
66380000;01/02/2001;86.258;43.878;53.95
66380000;01/01/2001;82.476;38.914;50.452
66380000;01/12/2000;106.333;34.152;67.786
66380000;01/11/2000;99.824;34.152;56.398
66380000;01/10/2000;49.037;29.603;37.381
66380000;01/09/2000;38.748;30.04;33.46
66380000;01/08/2000;34.271;30.04;31.61
66380000;01/07/2000;34.271;31.423;32.744
66380000;01/06/2000;39.517;34.271;36.315
66380000;01/05/2000;52.223;39.517;43.952
66380000;01/04/2000;72.684;45.917;55.359
66380000;01/03/2000;151.829;57.679;94.91
66380000;01/02/2000;158.471;53.299;87.53
66380000;01/01/2000;106.53;37.985;58.873
66380000;01/12/1999;75.093;37.228;54.909
66380000;01/11/1999;145.269;37.985;46.385
66380000;01/10/1999;71.489;34.271;43.312
66380000;01/09/1999;38.748;31.423;34.029
66380000;01/08/1999;34.271;32.124;33.021
66380000;01/07/1999;42.664;34.271;37.544
66380000;01/06/1999;43.467;37.228;39.969
66380000;01/05/1999;52.223;41.867;46.534
66380000;01/04/1999;99.44;49.037;69.618
66380000;01/03/1999;254.739;81.229;115.673
