FID,N,Bacia,Rio,Estado,Municipio,Responsave,Operadora,Tipo,Codigo,Estacao,Latitude,Longitude,areadrenk,Escala,registnive,descargliq,Sedimentos,qualidadea,Telemet,Operando,inicescala,inregtnive,inidescliq,sedinicio,iniqualida,Pluviom,registrchu,Evapo,Climato,inicpluvio,iniregchuv,EvapotIn,ClimatoIn,TelemetIn,COD_STR,INIC_TEL
"19179","19187",Rio Parana,RIO JAURU,MT,JAURU,CONS.JAURU,CONS.JAURU,Fluviometrica,"66071382",UHE JAURU MONTANTE,-15.160277777799999,-58.725833333300002,"2167",Sim,Ṇo,Sim,Sim,Ṇo,Sim,Sim,jun-14,"-",jan-14,jan-14,"-",Ṇo,Ṇo,Ṇo,Ṇo,"-","-","-","-",2014-06-01T00:00:00.000Z,"66071382",01/06/2014
"21028","21036",Rio Parana,RIO CORRENTES,MS,SONORA,AQUARIUS,AQUARIUS,Fluviometrica,"66493900",PCH AQUARIUS MONTANTE,-17.617500000000000,-54.886666666700002,"327",Sim,Ṇo,Sim,Sim,Ṇo,Sim,Sim,jul-14,"-",jul-14,jul-14,"-",Ṇo,Ṇo,Ṇo,Ṇo,"-","-","-","-",2014-07-01T00:00:00.000Z,"66493900",01/07/2014
