system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19870312_00000000000000000000;532;8;978;1405;970;157;2942;64;66870000;COXIM;0;0;12/03/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.723348018;68;0;LANDSAT_5;74.583.847;43.632.439;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870413_00000000000000000000;497;8;898;1086;745;146;2960;118;66870000;COXIM;0;0;13/04/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.70887338;68;0;LANDSAT_5;57.762.035;4.759.671;11;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870531_00000000000000000000;516;7;893;984;576;251;2933;143;66870000;COXIM;9;0;31/05/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.561188811;68;0;LANDSAT_5;44.242.931;5.515.263;18;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870803_00000000000000000000;525;8;835;885;475;162;2915;81;66870000;COXIM;14;0;03/08/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.674698795;68;0;LANDSAT_5;49.499.409;53.410.412;17;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870819_00000000000000000000;949;7;1140;1127;976;289;2911;154;66870000;COXIM;3;0;19/08/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.595521344;96;0;LANDSAT_5;53.546.173;49.849.297;322;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870904_00000000000000000000;1311;7;1499;1400;1420;482;2915;256;66870000;COXIM;15;0;04/09/1987;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.526987242;96;0;LANDSAT_5;58.584.435;45.510.201;767;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870920_00000000000000000000;1078;7;1262;1240;1190;429;2947;289;66870000;COXIM;5;0;20/09/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.492607924;96;0;LANDSAT_5;64.823.936;40.926.388;579;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871006_00000000000000000000;822;8;1130;1375;1373;286;2929;202;66870000;COXIM;62;0;06/10/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.596045198;66;0;LANDSAT_5;72.516.624;36.746.975;208;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871123_00000000000000000000;412;8;783;913;585;179;2964;87;66870000;COXIM;0;0;23/11/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.627858628;68;0;LANDSAT_5;98.495.468;32.234.798;35;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871225_00000000000000000000;498;8;840;1057;707;158;2990;124;66870000;COXIM;1;0;25/12/1987;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.683366733;68;0;LANDSAT_5;104.219.147;35.187.366;51;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880110_00000000000000000000;626;8;1068;1508;1616;135;2924;55;66870000;COXIM;16;0;10/01/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.775561097;66;0;LANDSAT_5;101.919.357;36.859.055;71;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880126_00000000000000000000;567;8;1033;1395;1475;217;2933;131;66870000;COXIM;29;0;26/01/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.6528;66;0;LANDSAT_5;96.836.319;38.259.983;74;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880211_00000000000000000000;605;8;1061;1422;1803;145;2947;59;66870000;COXIM;3;0;11/02/1988;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.759535655;66;0;LANDSAT_5;89.620.949;39.416.237;40;0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880330_00000000000000000000;514;8;967;1306;1156;107;2951;27;66870000;COXIM;0;0;30/03/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.793236715;68;0;LANDSAT_5;62.814.117;44.057.968;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880415_00000000000000000000;517;8;955;1241;1079;142;2924;72;66870000;COXIM;1;0;15/04/1988;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.741112124;68;0;LANDSAT_5;55.021.568;4.659.079;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880501_00000000000000000000;513;8;904;1220;1120;151;2938;123;66870000;COXIM;3;0;01/05/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.713744076;68;0;LANDSAT_5;48.953.915;49.436.493;26;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880517_00000000000000000000;478;8;847;1021;572;160;2924;80;66870000;COXIM;42;0;17/05/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.682224429;68;0;LANDSAT_5;44.859.413;52.208.298;26;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880720_00000000000000000000;489;7;879;923;498;206;2915;187;66870000;COXIM;0;0;20/07/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.601547389;68;0;LANDSAT_5;458.535;54.608.551;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880805_00000000000000000000;558;8;899;981;515;294;2929;176;66870000;COXIM;0;0;05/08/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.507124895;68;0;LANDSAT_5;49.191.677;52.002.312;10;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880821_00000000000000000000;723;7;996;989;633;293;2947;157;66870000;COXIM;0;0;21/08/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.545384019;68;0;LANDSAT_5;53.459.145;48.302.338;123;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880906_00000000000000000000;811;7;1037;1066;922;413;2955;310;66870000;COXIM;1;0;06/09/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.430344828;96;0;LANDSAT_5;58.750.023;43.897.568;192;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880922_00000000000000000000;1360;6;1446;1435;1325;470;2968;238;66870000;COXIM;8;0;22/09/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.509394572;96;0;LANDSAT_5;65.338.837;39.371.727;578;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19881008_00000000000000000000;778;7;1009;1108;940;325;2960;233;66870000;COXIM;4;0;08/10/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.49845679;68;0;LANDSAT_5;73.423.286;35.380.379;285;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19881024_00000000000000000000;655;8;974;1095;910;369;2929;261;66870000;COXIM;42;0;24/10/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.464441219;68;0;LANDSAT_5;8.275.354;32.603.554;161;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19881211_00000000000000000000;549;8;934;1233;972;245;2938;119;66870000;COXIM;33;0;11/12/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.584745763;68;0;LANDSAT_5;103.614.799;33.347.935;126;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19881227_00000000000000000000;515;8;1014;1448;1312;162;2915;56;66870000;COXIM;56;0;27/12/1988;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.732009926;66;0;LANDSAT_5;10.406.102;35.171.818;46;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890301_00000000000000000000;549;8;1029;1406;1268;203;2947;100;66870000;COXIM;0;0;01/03/1989;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.670454545;66;0;LANDSAT_5;79.427.414;40.824.753;43;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890418_00000000000000000000;689;8;1188;1672;1380;176;2911;74;66870000;COXIM;53;0;18/04/1989;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.76344086;66;0;LANDSAT_5;54.101.246;47.297.127;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890520_00000000000000000000;508;8;927;1091;535;164;2924;83;66870000;COXIM;0;0;20/05/1989;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.699358387;68;0;LANDSAT_5;44.767.464;52.964.848;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890605_00000000000000000000;524;8;893;1029;574;175;2933;142;66870000;COXIM;6;0;05/06/1989;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.672284644;68;0;LANDSAT_5;4.302.261;55.130.463;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890723_00000000000000000000;501;8;889;976;555;315;2911;189;66870000;COXIM;0;0;23/07/1989;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.498007968;68;0;LANDSAT_5;47.035.995;54.847.027;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890808_00000000000000000000;515;7;910;1201;783;265;2920;230;66870000;COXIM;17;0;08/08/1989;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.54893617;68;0;LANDSAT_5;50.632.198;52.136.951;19;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19890909_00000000000000000000;720;8;987;1141;928;324;2929;184;66870000;COXIM;2;0;09/09/1989;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.505720824;68;0;LANDSAT_5;60.728.706;44.060.017;267;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900216_00000000000000000000;604;8;1031;1222;1197;474;2906;332;66870000;COXIM;19;0;16/02/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.353783231;66;0;LANDSAT_5;87.545.792;41.741.791;109;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
