system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19860512_00000000000000000000;310.0;4;656.0;892.0;1390.0;507.0;2938.0;279.0;66845000;PEDRO GOMES;1.0;0;12/04/1986;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12811693895098883;66.0;0.0;LANDSAT_5;47.236.454;52.263.145;9.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860512_00000000000000000001;426.0;4;805.0;1067.0;740.0;198.0;2938.0;82.0;66870000;COXIM;1.0;0;12/04/1986;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6051844466600199;68.0;0.0;LANDSAT_5;47.236.454;52.263.145;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860528_00000000000000000000;342.0;3;669.0;697.0;938.0;464.0;2947.0;139.0;66845000;PEDRO GOMES;0.0;0;28/04/1986;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.10945273631840796;66.0;0.0;LANDSAT_5;44.521.061;54.785.042;9.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860528_00000000000000000001;420.0;4;779.0;927.0;462.0;174.0;2942.0;88.0;66870000;COXIM;0.0;0;28/04/1986;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6695156695156695;68.0;0.0;LANDSAT_5;44.521.061;54.785.042;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860613_00000000000000000000;359.0;3;662.0;645.0;871.0;371.0;2933.0;255.0;66845000;PEDRO GOMES;2.0;0;13/04/1986;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.152;66.0;0.0;LANDSAT_5;43.651.115;56.550.495;9.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860613_00000000000000000001;416.0;4;832.0;840.0;428.0;337.0;2933.0;147.0;66870000;COXIM;2.0;0;13/04/1986;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.4234388366124893;68.0;0.0;LANDSAT_5;43.651.115;56.550.495;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860629_00000000000000000000;404.0;3;788.0;709.0;783.0;461.0;2933.0;263.0;66845000;PEDRO GOMES;5.0;0;29/03/1986;5.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.2618094475580464;68.0;0.0;LANDSAT_5;44.381.321;57.198.769;9.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860629_00000000000000000001;625.0;4;955.0;1146.0;906.0;425.0;2906.0;265.0;66870000;COXIM;5.0;0;29/03/1986;5.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.38405797101449274;68.0;0.0;LANDSAT_5;44.381.321;57.198.769;36.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860715_00000000000000000000;410.0;4;664.0;598.0;971.0;595.0;2924.0;198.0;66845000;PEDRO GOMES;12.0;0;15/02/1986;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.05480540111199365;66.0;0.0;LANDSAT_5;46.442.696;56.546.619;14.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860715_00000000000000000001;571.0;4;835.0;888.0;478.0;219.0;2911.0;91.0;66870000;COXIM;12.0;0;15/02/1986;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5844402277039848;68.0;0.0;LANDSAT_5;46.442.696;56.546.619;11.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860731_00000000000000000000;755.0;4;1011.0;998.0;1142.0;750.0;2883.0;345.0;66845000;PEDRO GOMES;30.0;0;1986-02-31;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12331969608416131;66.0;0.0;LANDSAT_5;49.579.403;54.549.198;29.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860901_00000000000000000000;461.0;2;740.0;830.0;963.0;452.0;2902.0;248.0;66845000;PEDRO GOMES;27.0;0;01/01/1986;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.24161073825503357;68.0;0.0;LANDSAT_5;5.870.771;47.384.743;23.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860901_00000000000000000001;617.0;4;938.0;1092.0;917.0;325.0;2897.0;202.0;66870000;COXIM;27.0;0;01/01/1986;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.48535233570863023;68.0;0.0;LANDSAT_5;5.870.771;47.384.743;119.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19861104_00000000000000000001;584.0;4;881.0;978.0;533.0;232.0;2968.0;126.0;66870000;COXIM;27.0;0;1986-59-04;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5699721964782206;68.0;0.0;LANDSAT_5;89.977.821;34.443.432;78.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870107_00000000000000000000;427.0;3;910.0;1184.0;1320.0;503.0;2964.0;206.0;66845000;PEDRO GOMES;0.0;0;1987-59-07;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.32118758434547906;66.0;0.0;LANDSAT_5;102.684.654;38.834.469;14.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
