Total;Data
0;01/07/2010
10;01/08/2010
19;01/09/2010
93;01/10/2010
168;01/11/2010
123;01/12/2010
282;01/01/2011
270;01/02/2011
281;01/03/2011
106;01/04/2011
15;01/05/2011
10;01/06/2011
0;01/07/2011
15;01/08/2011
16;01/09/2011
133;01/10/2011
94;01/11/2011
193;01/12/2011
239;01/01/2012
148;01/02/2012
146;01/03/2012
147;01/04/2012
122;01/05/2012
40;01/06/2012
5;01/07/2012
10;01/08/2012
44;01/09/2012
67;01/10/2012
220;01/11/2012
162;01/12/2012
188;01/01/2013
233;01/02/2013
148;01/03/2013
128;01/04/2013
24;01/05/2013
69;01/06/2013
27;01/07/2013
16;01/08/2013
40;01/09/2013
123;01/10/2013
227;01/11/2013
253;01/12/2013
176;01/01/2014
165;01/02/2014
155;01/03/2014
85;01/04/2014
174;01/05/2014
14;01/06/2014
40;01/07/2014
17;01/08/2014
51;01/09/2014
110;01/10/2014
290;01/11/2014
265;01/12/2014
208;01/01/2015
195;01/02/2015
164;01/03/2015
141;01/04/2015
130;01/05/2015
13;01/06/2015
45;01/07/2015
20;01/08/2015
145;01/09/2015
127;01/10/2015
228;01/11/2015
215;01/12/2015
277;01/01/2016
170;01/02/2016
126;01/03/2016
58;01/04/2016
74;01/05/2016
139;01/06/2016
6;01/07/2016
65;01/08/2016
29;01/09/2016
153;01/10/2016
354;01/11/2016
179;01/12/2016
335;01/01/2017
174;01/02/2017
376;01/03/2017
116;01/04/2017
94;01/05/2017
5;01/06/2017
7;01/07/2017
78;01/08/2017
16;01/09/2017
149;01/10/2017
225;01/11/2017
240;01/12/2017
269;01/01/2018
229;01/02/2018
174;01/03/2018
99;01/04/2018
50;01/05/2018
13;01/06/2018
12;01/07/2018
33;01/08/2018
76;01/09/2018
247;01/10/2018
290;01/11/2018
95;01/12/2018
147;01/01/2019
211;01/02/2019
135;01/03/2019
97;01/04/2019
54;01/05/2019
5;01/06/2019
10;01/07/2019
14;01/08/2019
21;01/09/2019
117;01/10/2019
223;01/11/2019
185;01/12/2019
244;01/01/2020
258;01/02/2020
101;01/03/2020
68;01/04/2020
120;01/05/2020
