EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total
1854004;2;01/11/1966;1;63.4;197.8
1854004;2;01/10/1966;1;85;198.6
1854004;2;01/09/1966;1;30.7;63.6
1854004;2;01/08/1966;1;0.5;0.5
1854004;2;01/07/1966;1;1.9;1.9
1854004;2;01/06/1966;1;9;9
1854004;2;01/05/1966;1;42.6;82.7
1854004;2;01/04/1966;1;14.7;31
1854004;2;01/03/1966;1;31.4;82.9
1854004;2;01/02/1966;1;50.5;238.8
1854004;2;01/01/1966;1;17.7;125.3
1854004;2;01/12/1965;1;35.7;129.3
1854004;2;01/11/1965;1;;
