system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;cloud_cover;cloud_qa_count;date;img_qual;station_nm;site_no;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;snow_ice_qa_count;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225072_19870920_00000000000000000003;1023;15;1158;1105;1377;698;2977;373;1;0;20/09/1987;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.058823529;66;0;LANDSAT_5;0;44.294.048;56.880.352;9;1;
1_LT05_225072_19871123_00000000000000000003;392;15;719;769;967;415;2973;222;6;0;23/11/1987;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.049333333;66;0;LANDSAT_5;0;49.499.409;53.410.412;9;0;
1_LT05_225072_19871225_00000000000000000003;495;15;869;965;1061;522;2981;296;18;0;25/12/1987;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.205316581;66;0;LANDSAT_5;0;53.546.173;49.849.297;351;1;
1_LT05_225072_19880330_00000000000000000003;372;21;731;922;1102;448;2955;149;0;0;30/03/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.096289338;66;0;LANDSAT_5;0;64.823.936;40.926.388;385;1;
1_LT05_225072_19880415_00000000000000000003;420;22;786;946;1078;353;2924;158;28;0;15/04/1988;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.213113995;66;0;LANDSAT_5;0;72.516.624;36.746.975;117.5;1;
1_LT05_225072_19880501_00000000000000000003;418;20;770;863;1061;409;2951;168;3;0;01/05/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.140044841;67;0;LANDSAT_5;0;98.495.468;32.234.798;18;16.5;
1_LT05_225072_19880517_00000000000000000003;458;24;841;973;1273;467;2915;178;31;0;17/05/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.186119874;68;0;LANDSAT_5;0;104.219.147;35.187.366;28;32;
1_LT05_225072_19880720_00000000000000000003;442;17;767;780;749;414;2920;184;0;0;20/07/1988;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.201133144;66;0;LANDSAT_5;0;96.836.319;38.259.983;94;4;
1_LT05_225072_19880805_00000000000000000003;539;19;837;843;900;559;2929;269;0;0;05/08/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.164458301;66;0;LANDSAT_5;0;89.620.949;39.416.237;9;1;
1_LT05_225072_19880821_00000000000000000003;569;17;852;743;906;541;2960;290;0;0;21/08/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.251470588;68;0;LANDSAT_5;0;62.814.117;44.057.968;9;32;
1_LT05_225072_19880906_00000000000000000003;690;14;915;954;1049;646;2986;350;0;0;06/09/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.167353669;66;0;LANDSAT_5;0;55.021.568;4.659.079;9;1;
1_LT05_225072_19880922_00000000000000000003;1020;15;1161;1143;1320;670;3007;319;0;0;22/09/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.309300649;68;0;LANDSAT_5;0;48.953.915;49.436.493;9;32;
1_LT05_225072_19881008_00000000000000000003;703;17;874;984;1099;640;2990;343;4;0;08/10/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.189655172;68;0;LANDSAT_5;0;458.535;54.608.551;9;16.5;
1_LT05_225072_19881227_00000000000000000003;429;13;842;1030;1159;482;2915;232;48;0;27/12/1988;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.10772162;67;0;LANDSAT_5;0;49.191.677;52.002.312;9;16;
1_LT05_225072_19890301_00000000000000000003;443;20;767;947;1062;389;2955;175;1;0;01/03/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.260157671;68;0;LANDSAT_5;0;53.459.145;48.302.338;129;32;
1_LT05_225072_19890317_00000000000000000003;378;23;775;989;1102;432;2938;182;7;0;17/03/1989;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.356034051;66;0;LANDSAT_5;0;65.338.837;39.371.727;556;1;
1_LT05_225072_19890504_00000000000000000003;485;24;873;1116;1477;483;2911;219;62;0;04/05/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.203905801;66;0;LANDSAT_5;0;73.423.286;35.380.379;263;1;
1_LT05_225072_19890520_00000000000000000003;395;19;724;869;883;404;2924;180;2;0;20/05/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.273103448;66;0;LANDSAT_5;0;79.427.414;40.824.753;10;1;
1_LT05_225072_19890605_00000000000000000003;454;18;781;885;788;395;2933;194;0;0;05/06/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.280605227;66;0;LANDSAT_5;0;48.447.712;50.203.754;15;1;
1_LT05_225072_19890723_00000000000000000003;456;15;780;834;814;492;2920;290;0;0;23/07/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.112733171;68;0;LANDSAT_5;0;44.767.464;52.964.848;9;32;
1_LT05_225072_19890808_00000000000000000003;572;16;895;1019;1024;638;2897;423;18;0;08/08/1989;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.213515457;68;0;LANDSAT_5;0;4.302.261;55.130.463;9;32;
1_LT05_225072_19890909_00000000000000000003;585;18;872;883;1065;565;2942;270;51;0;09/09/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.075239398;68;0;LANDSAT_5;0;47.035.995;54.847.027;9;32;
1_LT05_225072_19891128_00000000000000000003;444;24;777;856;1241;492;2942;225;26;0;28/11/1989;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.125139665;68;0;LANDSAT_5;0;50.632.198;52.136.951;10;1;
1_LT05_225072_19900115_00000000000000000003;422;29;806;972;1138;453;2938;169;3;0;15/01/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.118038026;96;0;LANDSAT_5;0;60.728.706;44.060.017;238;1;
1_LT05_225072_19900216_00000000000000000003;671;3;1088;1282;1694;885;2874;488;41;0;16/02/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.144436766;68;0;LANDSAT_5;0;100.565.964;33.597.797;38;1;
1_LT05_225072_19900304_00000000000000000003;349;21;747;963;986;379;2960;184;0;0;04/03/1990;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.226626776;66;0;LANDSAT_5;0;79.015.953;43.118.721;9;1;
1_LT05_225072_19900405_00000000000000000003;438;18;748;875;987;472;2906;243;10;0;05/04/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.206521739;68;0;LANDSAT_5;0;61.874.641;46.939.327;9;32;
1_LT05_225072_19900507_00000000000000000003;333;21;649;761;813;395;2942;128;8;0;07/05/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.285386381;68;0;LANDSAT_5;0;49.417.603;52.211.628;9;32;
1_LT05_225072_19900726_00000000000000000003;481;18;691;715;791;510;2933;248;0;0;26/07/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.183728739;68;0;LANDSAT_5;0;44.459.473;56.719.048;27;32;
