Data;Descarga
20/09/1995;6316.6931
21/01/1996;15240.0287
16/04/1966;4696.4031
04/03/1967;9713.6286
10/08/1970;1079.0122
22/04/1971;2479.2203
10/08/1973;1779.1162
11/01/1974;14458.7782
19/12/1975;18659.4024
31/01/1976;13291.9381
01/03/1977;85947.1789
06/08/1977;6679.8445
26/01/1978;81590.9761
19/02/1978;24726.9707
25/03/1978;27060.6508
16/11/1979;6213.1084
27/01/1980;19359.5064
19/09/1980;6524.2658
01/11/1980;5746.3724
17/01/1981;20059.6104
19/07/1981;7224.3698
04/04/1982;61054.5911
01/02/1984;18270.4557
01/09/1986;9013.5246
21/02/1987;24882.5493
02/03/1988;21382.0292
08/03/1990;21537.6078
27/02/1992;29938.8563
13/03/1993;31728.011
23/03/1994;21537.6078
08/11/1991;20526.3465
02/06/1991;15858.9862
04/01/1991;11658.362
15/10/1992;10491.522
04/08/1993;10802.6793
12/06/1994;9791.4179
02/03/1989;79101.7173
09/03/1995;56931.7562
24/10/1987;10258.154
26/12/1987;8313.4205
28/01/1989;40907.1528
18/01/1989;22315.5012
04/04/1985;30405.5923
08/01/1985;32194.747
03/01/1983;36473.1606
02/03/1983;36395.3712
10/02/1982;37562.2113
19/04/1982;37640.0006
11/02/1980;28694.2269
25/03/1980;28694.2269
21/01/1977;60665.6444
05/03/1977;60587.8551
24/12/1977;51719.8706
19/02/1978;51797.66
13/01/1989;11969.5194
12/12/1995;9480.2606
04/11/1995;8780.1566
08/02/1995;21226.4505
26/04/1995;22626.6586
09/03/1995;33283.7977
28/03/1995;33361.5871
