"variable","value"
"(Intercept)","0.559972644508396"
"B1","0"
"B2","0"
"B3","0"
"B4","0"
"B5","0"
"B1.2","0"
"B2.2","-3.17065067038889e-08"
"B3.2","0"
"B4.2","0"
"B5.2","0"
"B2.B1","-0.147494650112141"
"B3.B1","0"
"B4.B1","0"
"B5.B1","0"
"B3.B2","1.42734363911413"
"B4.B2","0.0597935794885159"
"B5.B2","0.234638247643948"
"B4.B3","0"
"B5.B3","0"
"B5.B4","0"
