station_nm,sensor,site_no,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,match_dt_start,match_dt_end,B4.B3.B1,cluster
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,30,1984-04-20,0.092757776,0.086905397,0.081094064,0.103664838,0.045214426,295.0913696,0.017471528,0.936906863743693,0.936906863743693,0.8742562348627245,1.1175864975460386,0.4874462061272362,0.18835647805958608,0.9331303555290128,1.1928469528768162,0.5202717847316204,0.2010407708050629,1.278328312661701,0.5575553100902676,0.21544768060952035,0.4361597130938458,0.16853861287083668,0.38641490218188324,0.008604005008466175,0.0075525480277276085,0.006576247216036095,0.010746398637566244,0.002044344318509476,3.05254290654784e-4,-0.282671569,7,1984-04-12,1984-04-28,13.781360094939114,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,14,1984-07-09,0.100641467,0.088289082,0.07450854,0.07774929,0.041805141,295.5290527,0.021153839,0.8772634643729905,0.8772634643729905,0.7403363863923009,0.7725373279783372,0.4153868404958763,0.21019008993579158,0.8439156723817787,0.8806217964753558,0.4735029524941713,0.23959745101891533,1.0434950141285817,0.5610785152950252,0.2839116026162907,0.5376916110745191,0.27207758424546385,0.5060104689038126,0.010128704879912088,0.007794962000402725,0.0055515225329316,0.0060449520955040996,0.0017476698140298807,4.4748490443792104e-4,-0.357309805,0,1984-07-01,1984-07-17,10.368440020141813,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,30,1985-02-18,0.116323151,0.119075425,0.130566746,0.179594561,0.084282123,288.3288574,0.04027427,1.023660586704705,1.023660586704705,1.1224484969462356,1.54392792368563,0.7245515813098976,0.3462274676517317,1.0965045558308948,1.5082420323085137,0.7078045113002956,0.33822486881739033,1.375500014375789,0.6455098681864982,0.3084573310879632,0.46929106611419036,0.22425105624440372,0.4778506825225558,0.013531075458568801,0.014178956838930624,0.01704767516102852,0.03225420634078273,0.007103476257387129,0.0016220168240329,-0.183097057,33,1985-02-10,1985-02-26,11.824817351928413,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,36,1985-03-22,0.098362550000000007,0.088037677,0.085088648,0.118668474,0.052943308,288.7919006,0.025847536,0.8950324793328354,0.8950324793328354,0.8650512618877815,1.2064395849843257,0.5382465989342489,0.2627782219960747,0.9665026486330394,1.3479282739366238,0.6013710243626715,0.2935962974125272,1.3946451940334037,0.6222135295885768,0.30377184980069255,0.4461446769762962,0.21781299724137348,0.4882115790724675,0.009675191242502502,0.007750632571556328,0.007240078018467905,0.014082206721488674,0.002802993861982864,6.68095117271296e-4,-0.231704065,65,1985-03-14,1985-03-30,14.178619749420928,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,21,1985-05-09,0.131154016,0.129659951,0.124420911,0.164848849,0.093571052,283.1079102,0.058037855,0.9886083168051826,0.9886083168051826,0.9486626090046681,1.2569104174438699,0.7134440473404946,0.44251679643572633,0.9595939998465679,1.2713937320553206,0.7216650266974111,0.4476158949034309,1.324928805576741,0.7520524584488857,0.46646383259482804,0.5676172600998871,0.3520670926856153,0.6202543816649619,0.01720137591292826,0.0168117028933224,0.01548056309406992,0.027175143016624798,0.008755541772386704,0.003368392613001025,-0.161666159,77,1985-05-01,1985-05-17,10.10208338246189,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,24,1985-06-10,0.096727826,0.094833583,0.088503435,0.090249024,0.04097686,288.7919006,0.020732628,0.9804167727288733,0.9804167727288733,0.9149738876587592,0.9330202872542591,0.4236305279930513,0.21433985293952537,0.9332499332014061,0.9516567986258623,0.43209228950043993,0.21862116081810384,1.019723403956016,0.46299739665471734,0.23425789066831132,0.4540421401122299,0.2297268943318434,0.5059594122146012,0.009356272322686276,0.008993408464617889,0.007832858006799226,0.008144886332952576,0.0016791030554595997,4.29841863786384e-4,-0.335658564,0,1985-06-02,1985-06-18,10.542192935836436,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,26,1985-06-26,0.102774985,0.092699245,0.086516395,0.082681902,0.045129027,293.3248901,0.030191943,0.901963109019184,0.901963109019184,0.8418040148582848,0.8044944205051453,0.4391051674685236,0.29376742793978516,0.9333020457717859,0.8919371673415464,0.48683273526122034,0.32569783065654956,0.9556790016504965,0.5216239881469865,0.3489736598479398,0.5458150563590083,0.3651578189384177,0.6690138256249132,0.010562697541750226,0.008593150023570025,0.007485086603796025,0.006836296918337604,0.0020366290779667293,9.11553422115249e-4,-0.278523528,0,1985-06-18,1985-07-04,9.298751069148746,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,27,1985-07-12,0.101526044,0.095758721,0.081551097,0.091127761,0.0573803,291.9829712,0.029822221,0.9431936597470498,0.9431936597470498,0.8032529761526018,0.8975801420963473,0.5651781330118605,0.2937396142412483,0.851631017502834,0.9516392872457016,0.5992174853713846,0.3114308617384311,1.1174314552752123,0.7036116264628544,0.36568755169534994,0.629668713137811,0.32725725588714943,0.5197292624820713,0.010307537610289935,0.009169732647555842,0.00665058142190341,0.008304268824873121,0.0032924988280900003,8.89364865372841e-4,-0.220891289,0,1985-07-04,1985-07-20,11.006352766736507,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,23,1985-08-13,0.098894469,0.092657126,0.08298666,0.081082717,0.05390479,294.2113342,0.03048813,0.936929303902729,0.936929303902729,0.8391435925501557,0.8198913227391919,0.5450738605007324,0.30828953639459855,0.8956317078084205,0.8750834447422856,0.5817662637194251,0.3290424742938821,0.9770572402841613,0.6495597003180993,0.3673859147964263,0.6648123298581621,0.3760126834427613,0.5655922228803785,0.009780115998791961,0.008585342998579878,0.006886785737955601,0.0065744069961020885,0.0029057263849441,9.295260708969e-4,-0.250584287,0,1985-08-05,1985-08-21,9.879796617181507,1
Pedro Gomes,Landsat 5,66845000,-18.16553046,-54.47137071,34,1985-08-29,0.185792431,0.157500982,0.143691584,0.163829729,0.096893117,296.3998108,0.057228383,0.847725502875841,0.847725502875841,0.7733984814483643,0.88178903800446,0.5215127251335658,0.3080232208167834,0.9123218292061188,1.0401822701016556,0.6151905579864893,0.36335254722411825,1.1401483958865677,0.6743130968616784,0.3982723372302723,0.5914257295756132,0.34931622819201513,0.5906341417419774,0.03451882741688976,0.024806559330964328,0.02064727131242906,0.026840180104213445,0.00938827612197569,0.003275087820794689,-0.248392656,4,1985-08-21,1985-09-06,6.136678387541889,1
