station_nm,site_no,N_samples,B1,B2,B3,B4,B5,B7,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
Amolar,66800000,1015,420,655,729,584,177,103,1.4789915966386555,1.6363636363636365,1.3897338403041826,1.099805573558004,0.9883333333333333,0.8717948717948718,0.0020824001448626187,2
Sao Francisco,66810000,507,516,785,798,644,160,87,1.506588579795022,1.5432372505543237,1.272965879265092,1.031397174254317,0.860813704496788,0.8188824662813102,0.0014541247107386329,3
Pedro Gomes,66845000,945,438,719,855,956,357,175,1.618942731277533,1.8790697674418604,2.131720430107527,1.1645422943221322,1.3522205206738132,1.1713615023474178,0.0025986678747028876,2
Garimpagem,66855000,434,485,832,944.5,1028,463,226,1.7117821572367027,1.8926829268292682,1.951564399178507,1.1216155277800794,1.2114393338620142,1.0976439887817835,0.002149228884371297,3
PCH PONTE ALTA JUSANTE,66861000,2,371,675.5,719.5,828,409.5,205.5,1.8469732588892154,1.9720540699382898,2.3140464296209227,1.0643875581293323,1.217895060103536,1.1391869011503337,0.0031670722286393314,1
Coxim,66870000,532,477.5,813.5,952,891,411.5,214,1.6492824884987127,1.9055630658047322,1.7584884167764603,1.1483088271881376,1.0884820710464809,0.9644244161401667,0.0018822625913234936,3
