"variable","value"
"(Intercept)","-0.187562858074884"
"B1","-0.00213530308732707"
"B2","0.000239345167274787"
"B3","0.00107322944174521"
"B4","0.00169179908868554"
"B5","0.00126133780756445"
"B1.2","1.50374006009923e-06"
"B2.2","-1.68988851729146e-06"
"B3.2","4.77126095772847e-07"
"B4.2","-5.24183210601549e-07"
"B5.2","-1.11244830768576e-06"
"B2.B1","0.673261741336014"
"B3.B1","-0.717705158558981"
"B4.B1","-0.00423623614206792"
"B5.B1","0.311255976372806"
"B3.B2","1.23299511658607"
"B4.B2","-0.535570132860772"
"B5.B2","0.141573610980306"
"B4.B3","0.324236354163926"
"B5.B3","-0.992654583522308"
"B5.B4","0.486627166913054"
