site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,match_dt_start,match_dt_end,i.site_no,FID,N,agency_cd,operadora,i.Latitude,i.Longitude,NivelConsistencia,Hora,NumMedicao,DataLiq,HoraLiq,NumMedicaoLiq,Cota,Vazao,AreaMolhada,Largura,VelMedia,ConcentracaoMatSuspensao,CotaDeMedicao,TemperaturaDaAgua,ConcentracaoDaAmostraExtra,CondutividadeEletrica,sample_method,Data,lag_days,log10_SSC_mgL,abs_lag_days,cluster_sel,ssc_category,holdout25
66845000,03/08/2013,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,12,2013-08-02,366,631,585,620,377,2950,151,1.72404371584699,1.72404371584699,1.59836065573771,1.69398907103825,1.03005464480874,0.412568306010929,0.927099841521395,0.98256735340729,0.597464342313788,0.239302694136292,1.05982905982906,0.644444444444445,0.258119658119658,0.608064516129032,0.243548387096774,0.40053050397878,133956,398161,342225,384400,142129,22801,-0.270087125,0,2013-08-03,2013-08-03,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:18,59,03/08/2013,01/01/1900 11:57,59,278,115.29,139.34,75.68,0.827,189,278,23.7,,,,,1,2.27646180417324,1,1,0-250,holdout
66845000,06/11/2013,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,5,2013-11-06,606,916,1146,1550,467,2960,254,1.51155115511551,1.51155115511551,1.89108910891089,2.55775577557756,0.770627062706271,0.419141914191419,1.25109170305677,1.69213973799127,0.509825327510917,0.277292576419214,1.35253054101222,0.407504363001745,0.221640488656195,0.301290322580645,0.163870967741935,0.54389721627409,367236,839056,1313316,2402500,218089,64516,-0.321279555,46,2013-11-06,2013-11-06,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 10:40,60,06/11/2013,01/01/1900 09:44,60,318,132.894,163.464,77.95,0.883,606,318,27.25,,,,,0,2.78247262416629,0,1,500-750,holdout
66845000,09/08/2014,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,15,2014-08-05,373,614,700,699,311,2955,147,1.64611260053619,1.64611260053619,1.87667560321716,1.87399463806971,0.833780160857909,0.394101876675603,1.1400651465798,1.13843648208469,0.506514657980456,0.239413680781759,0.998571428571429,0.444285714285714,0.21,0.444921316165951,0.210300429184549,0.472668810289389,139129,376996,490000,488601,96721,21609,-0.290763968,3,2014-08-09,2014-08-09,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:14,62,09/08/2014,01/01/1900 10:51,62,288,117.69,114.95,75.5,1.024,230.4,288,,,,,,4,2.36248247475117,4,1,0-250,holdout
66845000,14/08/2015,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,15,2015-08-08,402,596,578,729,333,2965,202,1.48258706467662,1.48258706467662,1.43781094527363,1.8134328358209,0.828358208955224,0.502487562189055,0.969798657718121,1.22315436241611,0.558724832214765,0.338926174496644,1.26124567474048,0.576124567474048,0.349480968858132,0.45679012345679,0.277091906721536,0.606606606606607,161604,355216,334084,531441,110889,40804,-0.244897959,0,2015-08-14,2015-08-14,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 11:45,65,14/08/2015,01/01/1900 10:59,65,284,103.554,128.018,78.19,0.921,219.8,284,22.85,,,,,6,2.34202768808747,6,1,0-250,holdout
66845000,22/08/2016,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,10,2016-08-26,435.5,655.5,763,796,357,2970,213,1.50516647531573,1.50516647531573,1.75200918484501,1.82778415614237,0.819747416762342,0.489092996555683,1.16399694889397,1.21434019832189,0.544622425629291,0.324942791762014,1.043250327654,0.467889908256881,0.27916120576671,0.448492462311558,0.267587939698493,0.596638655462185,189660.25,429680.25,582169,633616,127449,45369,-0.295751028,1,2016-08-22,2016-08-22,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 11:40,68,22/08/2016,01/01/1900 10:12,68,338,142.506,175.162,83.11,0.878,726,338,22,,17.5,,,-4,2.86093662070009,4,1,500-750,holdout
66845000,18/04/2017,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,10,2017-04-23,333,651,790,1064,309,2939,162,1.95495495495496,1.95495495495496,2.37237237237237,3.1951951951952,0.927927927927928,0.486486486486487,1.21351766513057,1.63440860215054,0.474654377880184,0.248847926267281,1.34683544303797,0.391139240506329,0.205063291139241,0.290413533834586,0.152255639097744,0.524271844660194,110889,423801,624100,1132096,95481,26244,-0.350230415,2,2017-04-18,2017-04-18,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 16:35,70,18/04/2017,01/01/1900 14:51,70,334,158.956,158.455,92.27,0.971,194.3,334,27.4,,90.2,,,-5,2.28847280059978,5,1,0-250,holdout
66845000,15/07/2017,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,10,2017-07-12,294,520,594,697,393,2945,188,1.7687074829932,1.7687074829932,2.02040816326531,2.37074829931973,1.33673469387755,0.639455782312925,1.14230769230769,1.34038461538462,0.755769230769231,0.361538461538462,1.17340067340067,0.661616161616162,0.316498316498317,0.563845050215208,0.269727403156385,0.478371501272265,86436,270400,352836,485809,154449,35344,-0.144876325,0,2017-07-15,2017-07-15,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 15:10,71,15/07/2017,01/01/1900 13:39,71,292,117.345,145.663,84.51,0.949,184.6,292,21.9,,62.7,,,3,2.26623169668989,3,1,0-250,holdout
66845000,27/10/2017,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,5,2017-11-01,729,896,983,1454,693,2881,434,1.22908093278464,1.22908093278464,1.34842249657064,1.99451303155007,0.950617283950617,0.595336076817558,1.09709821428571,1.62276785714286,0.7734375,0.484375,1.47914547304171,0.704984740590031,0.441505595116989,0.476616231086658,0.298486932599725,0.626262626262626,531441,802816,966289,2114116,480249,188356,-0.127753304,63,2017-10-27,2017-10-27,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 09:05,72,27/10/2017,01/01/1900 09:39,72,280,97.467,128.977,74.85,0.834,185.2,280,27.9,,60.8,,,-5,2.26764098234592,5,1,0-250,holdout
66845000,12/04/2018,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,18,2018-04-10,317,573,715,859,272,2965,103,1.80757097791798,1.80757097791798,2.25552050473186,2.70977917981073,0.858044164037855,0.324921135646688,1.2478184991274,1.49912739965096,0.474694589877836,0.179755671902269,1.2013986013986,0.38041958041958,0.144055944055944,0.316647264260768,0.119906868451688,0.378676470588235,100489,328329,511225,737881,73984,10609,-0.356213018,13,2018-04-12,2018-04-12,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:15,74,12/04/2018,01/01/1900 10:31,74,333,179.601,160.1,81.12,1.14,250.8,333,26.94,,67.6,,,2,2.39932753215868,2,1,250-500,holdout
66845000,13/02/2019,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,8,2019-02-08,380,678,804,1252,377,2950,163,1.78421052631579,1.78421052631579,2.11578947368421,3.29473684210526,0.992105263157895,0.428947368421053,1.1858407079646,1.84660766961652,0.556047197640118,0.240412979351032,1.55721393034826,0.468905472636816,0.20273631840796,0.30111821086262,0.130191693290735,0.43236074270557,144400,459684,646416,1567504,142129,26569,-0.168687982,6,2019-02-13,2019-02-13,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:15,77,13/02/2019,01/01/1900 10:54,77,343,186.479,165.43,76.39,1.045,259.7,343,27.56,,52.6,,,5,2.4144719496293,5,1,250-500,holdout
66845000,22/04/2019,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,18,2019-04-29,336,540,656,915,301,2945,115,1.60714285714286,1.60714285714286,1.95238095238095,2.72321428571429,0.895833333333333,0.342261904761905,1.21481481481481,1.69444444444444,0.557407407407407,0.212962962962963,1.39481707317073,0.458841463414634,0.17530487804878,0.32896174863388,0.12568306010929,0.382059800664452,112896,291600,430336,837225,90601,13225,-0.244837758,15,2019-04-22,2019-04-22,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:05,78,22/04/2019,01/01/1900 10:10,78,338,174,171.6,94.4,1.02,207.2,332,26.63,,94.4,,,-7,2.3163897510732,7,1,0-250,holdout
