"variable","value"
"(Intercept)","-0.365975052127957"
"B1","-0.000550326673057316"
"B2","-0.00296789310397647"
"B3","0.00424613260062932"
"B4","0.00113955980903783"
"B5","-0.00107159310575311"
"B1.2","3.60524155424778e-07"
"B2.2","0"
"B3.2","-8.88367931454962e-07"
"B4.2","-9.48035470390538e-08"
"B5.2","0"
"B2.B1","0.871167889948511"
"B3.B1","-0.444772674081151"
"B4.B1","-0.418677716107409"
"B5.B1","0.480487805380474"
"B3.B2","0.331550578504987"
"B4.B2","0"
"B5.B2","0.523403658920177"
"B4.B3","0.636039192028783"
"B5.B3","-1.49551219591836"
"B5.B4","0.993084028374744"
