"variable","value"
"(Intercept)","-0.578096597527219"
"B1","-0.00172198529956032"
"B2","-0.000389864987784523"
"B3","0.00151173721350324"
"B4","0.00219284836098153"
"B5","-0.00188101956585216"
"B1.2","7.3201490924474e-07"
"B2.2","-6.42394448015015e-07"
"B3.2","-6.95648455530097e-08"
"B4.2","-4.27673722421821e-07"
"B5.2","7.31110614365973e-07"
"B2.B1","0.554575413847817"
"B3.B1","-0.170022018402838"
"B4.B1","-0.462969345920811"
"B5.B1","0.520133846008689"
"B3.B2","0.798710537356959"
"B4.B2","-0.059240077099237"
"B5.B2","0"
"B4.B3","0.544507130281708"
"B5.B3","-0.859499699830481"
"B5.B4","0.920848638084484"
