"variable","value"
"(Intercept)","2.44144596476566"
"B1","0"
"B2","0"
"B3","0"
"B4","8.83125333348462e-05"
"B5","0"
"B7","0"
"B1.2","0"
"B2.2","0"
"B3.2","0"
"B4.2","0"
"B5.2","0"
"B7.2","0"
"B2.B1","0"
"B3.B1","0"
"B4.B1","0"
"B5.B1","0"
"B7.B1","0"
"B3.B2","0"
"B4.B2","0.0507852509030728"
"B5.B2","0"
"B7.B2","0"
"B4.B3","0"
"B5.B3","0"
"B7.B3","0"
"B5.B4","-0.337890192872425"
"B7.B4","0"
"B7.B5","0"
