site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,cloud_qa_count,ndssi,nsmi,index_montaigner_2014,bi,B3_B2_B1,match_dt_start,match_dt_end,EstacaoCodigo,NomeEstacao,Data,Hora,Largura,ConcentracaoMatSuspensao,lag_days,log10_SSC_mgL,abs_lag_days
66255000,13/09/2014,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,27,2014-09-13,679,767,679,653,313,2980,164,1.12960235640648,1.12960235640648,1,0.9617083946980854,0.46097201767304863,0.24153166421207659,0.8852672750977836,0.8513689700130378,0.40808344198174706,0.2138200782268579,0.9617083946980854,0.46097201767304863,0.24153166421207659,0.4793261868300153,0.25114854517611024,0.5239616613418531,461041,588289,461041,426409,97969,26896,-0.4203703703703704,1,0,-0.01951951951951952,0.3609411764705882,0.921161825726141,724.3376284578898,0.46957123098201936,2014-09-13,2014-09-13,66255000,Acorizal,13/09/2014,01/01/1900 07:00,120.6,12.6,0,1.100370545117563,0
66255000,21/01/2010,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,29,2010-01-21,455,758,911,544,133,2929,84,1.665934065934066,1.665934065934066,2.002197802197802,1.1956043956043956,0.2923076923076923,0.18461538461538463,1.2018469656992083,0.7176781002638523,0.17546174142480211,0.11081794195250659,0.5971459934138309,0.145993413830955,0.09220636663007684,0.24448529411764705,0.15441176470588236,0.631578947368421,207025,574564,829921,295936,17689,7056,-0.7014590347923682,78,0,0.0890890890890891,0.571563088512241,1.1995053586150042,837.9991050114553,0.7510305028854081,2010-01-21,2010-01-21,66255000,Acorizal,21/01/2010,01/01/1900 07:00,129.5,49,0,1.6901960800285136,0
66255000,28/07/2009,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,25,2009-07-28,221,438,347,287,207,2955,117,1.9819004524886878,1.9819004524886878,1.5701357466063348,1.2986425339366516,0.9366515837104072,0.5294117647058824,0.7922374429223744,0.6552511415525114,0.4726027397260274,0.2671232876712329,0.8270893371757925,0.5965417867435159,0.3371757925072046,0.7212543554006968,0.4076655052264808,0.5652173913043478,48841,191844,120409,82369,42849,13689,-0.3581395348837209,0,0,0.12992125984251968,0.5606361829025845,0.9620637329286799,395.1284601240462,0.5265553869499241,2009-07-28,2009-07-28,66255000,Acorizal,28/07/2009,01/01/1900 08:40,125.5,7,0,0.8450980400142568,0
66255000,16/04/2009,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,28,2009-04-16,403,722,859,500,158,2942,105,1.7915632754342432,1.7915632754342432,2.13151364764268,1.2406947890818858,0.3920595533498759,0.26054590570719605,1.1897506925207757,0.6925207756232687,0.2188365650969529,0.14542936288088643,0.5820721769499418,0.1839348079161816,0.12223515715948778,0.316,0.21,0.6645569620253164,162409,521284,737881,250000,24964,11025,-0.641316685584563,0,0,0.10741971207087486,0.59375,1.208,793.4623494533311,0.7635555555555555,2009-04-16,2009-04-16,66255000,Acorizal,16/04/2009,01/01/1900 08:50,138.8,52,0,1.7160033436347992,0
66255000,06/06/2007,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,14,2007-06-06,326,497,418,297,147,2960,62,1.5245398773006136,1.5245398773006136,1.2822085889570551,0.911042944785276,0.450920245398773,0.1901840490797546,0.8410462776659959,0.5975855130784709,0.29577464788732394,0.12474849094567404,0.7105263157894737,0.35167464114832536,0.14832535885167464,0.494949494949495,0.20875420875420875,0.4217687074829932,106276,247009,174724,88209,21609,3844,-0.5334895356211684,0,0,-0.04654895666131621,0.47461724415793716,0.8687727825030377,459.20202525685795,0.5078979343863913,2007-06-06,2007-06-06,66255000,Acorizal,06/06/2007,01/01/1900 07:00,125.7,26,0,1.414973347970818,0
66255000,09/09/2004,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,28,2004-09-09,1064,1155,1071,1021,420,2986,241,1.0855263157894737,1.0855263157894737,1.006578947368421,0.9595864661654135,0.39473684210526316,0.22650375939849623,0.9272727272727272,0.883982683982684,0.36363636363636365,0.20865800865800865,0.9533146591970122,0.39215686274509803,0.2250233426704015,0.41136141038197843,0.23604309500489715,0.5738095238095238,1132096,1334025,1147041,1042441,176400,58081,-0.45575757575757575,2,0,-0.02062350119904077,0.35319148936170214,0.9427670121676431,1113.792170918794,0.48264984227129337,2004-09-09,2004-09-09,66255000,Acorizal,09/09/2004,01/01/1900 07:00,126,34,0,1.5314789170422551,0
66255000,27/10/2001,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,29,2001-10-27,697,991,1051,786,339,2975,214,1.4218077474892397,1.4218077474892397,1.5078909612625537,1.127690100430416,0.48637015781922527,0.30703012912482064,1.060544904137235,0.79313824419778,0.3420787083753784,0.21594349142280525,0.7478591817316841,0.3225499524262607,0.20361560418648905,0.4312977099236641,0.272264631043257,0.6312684365781711,485809,982081,1104601,617796,114921,45796,-0.49740548554484804,9,0,0.06001348617666891,0.4910551296093465,1.0882701421800949,1021.4406492792423,0.6226303317535545,2001-10-27,2001-10-27,66255000,Acorizal,27/10/2001,01/01/1900 07:00,126.4,49.3,0,1.69284691927723,0
66255000,09/05/2000,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,17,2000-05-09,463,713,670,499,266,2924,206,1.5399568034557236,1.5399568034557236,1.4470842332613392,1.0777537796976242,0.5745140388768899,0.4449244060475162,0.9396914446002805,0.699859747545582,0.37307152875175315,0.28892005610098176,0.744776119402985,0.3970149253731343,0.3074626865671642,0.533066132264529,0.41282565130260523,0.7744360902255639,214369,508369,448900,249001,70756,42436,-0.42979635584137194,11,6,0.037422037422037424,0.49837486457204766,0.9940476190476191,691.8341564276803,0.5697278911564626,2000-05-09,2000-05-09,66255000,Acorizal,09/05/2000,01/01/1900 07:00,124,40,0,1.6020599913279623,0
66162000,20/09/2005,UHE MANSO MONTANTE,Landsat 7,-14.813588527854664,-55.27629642051745,8,2005-09-20,1355,1380,1270,1737,805,2970,406,1.018450184501845,1.018450184501845,0.9372693726937269,1.2819188191881918,0.5940959409594095,0.2996309963099631,0.9202898550724637,1.258695652173913,0.5833333333333334,0.2942028985507246,1.367716535433071,0.6338582677165354,0.31968503937007875,0.4634427173287277,0.2337363270005757,0.5043478260869565,1836025,1904400,1612900,3017169,648025,164836,-0.27050294517444495,11,0,0.12354463130659767,0.3233458177278402,1.09945155393053,1326.14101814249,0.4643510054844607,2005-09-20,2005-09-20,66162000,UHE Manso Montante,20/09/2005,01/01/1900 07:00,36,29.33,0,1.467312062980552,0
66162000,09/03/2004,UHE MANSO MONTANTE,Landsat 7,-14.813588527854664,-55.27629642051745,3,2004-03-09,571,843,818,1421,792,2859,392,1.4763572679509631,1.4763572679509631,1.4325744308231174,2.48861646234676,1.3870402802101576,0.6865148861646234,0.970344009489917,1.6856465005931198,0.9395017793594306,0.465005931198102,1.7371638141809291,0.9682151589242054,0.4792176039119804,0.5573539760731879,0.27586206896551724,0.494949494949495,326041,710649,669124,2019241,627264,153664,-0.0162748643761302,16,0,0.4267068273092369,0.4883512544802867,1.5834512022630836,830.5940645104563,0.5785007072135785,2004-03-09,2004-03-09,66162000,UHE Manso Montante,09/03/2004,01/01/1900 07:00,50.4,73.67,0,1.8672906698548841,0
